timestamp,elapsed_seconds
2025-12-26T20:42:29.733317,8
2025-12-26T20:42:30.189507,35855
2025-12-26T20:42:30.734112,9
2025-12-26T20:42:31.188403,35856
2025-12-26T20:42:31.733903,10
2025-12-26T20:42:32.189018,35857
2025-12-26T20:42:32.733996,11
2025-12-26T20:42:33.189436,35858
2025-12-26T20:42:33.733401,12
2025-12-26T20:42:34.189187,35859
2025-12-26T20:42:34.734104,13
2025-12-26T20:42:35.189455,35860
2025-12-26T20:42:35.734380,14
2025-12-26T20:42:36.188714,35861
2025-12-26T20:42:36.734733,15
2025-12-26T20:42:37.189725,35862
2025-12-26T20:42:38.188532,35863
2025-12-26T20:42:39.188572,35864
2025-12-26T20:42:40.189423,35865
2025-12-26T20:42:41.188645,35866
2025-12-26T20:42:42.188947,35867
